325,303,0
444,169,1
169,115,1
334,156,1
495,286,1
388,555,1
262,309,0
120,378,1
290,380,0
74,364,1
355,338,0
459,394,1
289,297,0
142,452,1
261,168,1
338,399,0
78,330,1
217,457,1
269,86,1
341,92,1
410,505,1
411,107,1
152,149,1
211,110,1
315,350,0
191,466,1
106,262,1
317,514,1
282,508,1
104,421,1
458,126,1
413,190,1
440,190,1
562,342,1
542,362,1
412,533,1
455,198,1
262,67,1
105,216,1
399,352,0
335,138,1
158,166,1
393,137,1
346,156,1
121,326,1
524,274,1
516,239,1
244,558,1
132,444,1
120,369,1
169,430,1
528,289,1
569,266,1
341,153,1
386,329,0
380,531,1
167,190,1
70,345,1
353,163,1
298,505,1
435,181,1
305,88,1
375,145,1
467,107,1
313,488,1
332,142,1
277,235,0
393,275,0
243,261,0
575,312,1
389,337,0
212,507,1
164,226,1
354,328,0
142,471,1
414,119,1
387,336,0
267,152,1
68,403,1
481,181,1
97,181,1
226,171,1
77,209,1
286,87,1
217,498,1
99,289,1
207,521,1
146,439,1
345,486,1
525,474,1
191,195,1
189,524,1
274,259,0
286,231,0
463,137,1
489,291,1
410,559,1
475,361,1
289,247,0
536,271,1
494,417,1
112,247,1
435,148,1
222,85,1
394,111,1
139,220,1
280,297,0
255,247,0
375,85,1
85,389,1
313,278,0
485,345,1
78,219,1
306,227,0
451,98,1
237,340,0
202,515,1
498,199,1
511,401,1
488,449,1
327,329,0
434,447,1
305,338,0
305,526,1
500,290,1
194,420,1
370,384,0
504,269,1
485,383,1
122,404,1
336,278,0
200,460,1
494,250,1
179,164,1
298,568,1
392,552,1
151,305,1
357,308,0
567,360,1
326,387,0
286,404,0
237,165,1
391,97,1
296,307,0
95,275,1
497,346,1
330,103,1
515,159,1
339,105,1
161,244,1
264,501,1
438,441,1
121,431,1
109,183,1
282,340,0
369,60,1
246,84,1
304,385,0
360,354,0
190,457,1
346,500,1
443,501,1
332,526,1
552,326,1
544,207,1
168,518,1
289,117,1
254,83,1
501,440,1
255,259,0
577,330,1
547,233,1
336,118,1
197,146,1
288,479,1
322,63,1
498,165,1
98,407,1
227,499,1
335,551,1
283,512,1
178,394,1
307,481,1
528,432,1
327,151,1
106,463,1
126,413,1
70,254,1
230,300,0
431,80,1
166,150,1
163,378,1
467,242,1
86,243,1
412,80,1
488,225,1
347,362,0
513,322,1
563,405,1
91,424,1
73,219,1
262,80,1
357,93,1
449,170,1
516,174,1
170,130,1
306,232,0
330,519,1
208,85,1
385,537,1
223,69,1
258,169,1
552,372,1
260,103,1
371,385,0
172,459,1
318,73,1
262,497,1
204,176,1
147,253,1
296,161,0
480,460,1
389,166,1
456,511,1
301,273,0
494,289,1
109,376,1
286,324,0
440,428,1
274,160,1
260,341,0
364,249,0
435,167,1
153,454,1
126,368,1
331,71,1
354,367,0
422,489,1
98,355,1
88,200,1
319,114,1
259,538,1
464,475,1
428,452,1
104,209,1
455,185,1
88,430,1
342,503,1
293,346,0
102,398,1
312,405,0
478,109,1
425,102,1
409,184,1
197,122,1
134,212,1
116,471,1
139,401,1
535,410,1
158,504,1
449,530,1
479,193,1
106,405,1
518,439,1
428,188,1
328,337,0
92,303,1
287,491,1
280,482,1
449,479,1
125,408,1
386,555,1
147,423,1
106,249,1
385,69,1
423,523,1
163,435,1
260,324,0
451,424,1
250,127,1
185,176,1
386,153,1
525,398,1
325,276,0
521,360,1
346,151,1
167,441,1
182,506,1
263,309,0
399,318,0
248,500,1
537,431,1
313,275,0
435,144,1
163,230,1
429,163,1
366,491,1
489,213,1
301,315,0
122,270,1
354,564,1
335,302,0
245,159,1
496,359,1
186,162,1
433,83,1
262,542,1
432,503,1
334,529,1
65,315,1
271,332,0
273,532,1
158,441,1
335,358,0
264,481,1
400,171,1
332,372,0
235,307,0
373,98,1
416,475,1
118,335,1
95,265,1
385,326,0
573,282,1
377,127,1
517,278,1
496,357,1
465,272,0
224,96,1
259,359,0
518,388,1
294,226,0
338,377,0
478,409,1
371,530,1
471,221,1
399,561,1
456,219,1
127,207,1
138,394,1
174,503,1
503,379,1
332,359,0
412,186,1
250,142,1
275,118,1
284,102,1
499,206,1
146,408,1
513,460,1
530,230,1
261,488,1
287,281,0
291,496,1
536,458,1
276,494,1
569,316,1
159,266,1
388,278,0
306,58,1
537,286,1
71,398,1
534,330,1
305,498,1
365,86,1
248,486,1
400,292,0
72,353,1
195,123,1
143,486,1
241,514,1
241,520,1
458,422,1
182,535,1
163,467,1
230,544,1
410,485,1
106,189,1
370,76,1
428,79,1
332,253,0
483,303,1
423,144,1
274,517,1
341,126,1
255,520,1
133,336,1
178,195,1
255,249,0
266,504,1
296,147,1
456,140,1
312,474,1
365,360,0
294,144,1
427,150,1
361,336,0
265,115,1
506,290,1
512,409,1
