dia,M_4,F_4,O_4
2014-12-24,1.0,1.0,0.0
2014-12-25,0.0,1.0,0.0
2014-12-29,1.0,0.0,0.0
2014-12-31,2.0,0.0,0.0
2015-01-01,3.0,0.0,0.0
2015-01-02,1.0,1.0,0.0
2015-01-16,0.0,1.0,0.0
2015-01-18,1.0,0.0,0.0
2015-01-29,0.0,1.0,0.0
2015-02-01,1.0,0.0,0.0
2015-02-16,1.0,0.0,0.0
2015-02-20,1.0,0.0,0.0
2015-02-27,1.0,0.0,0.0
2015-02-28,1.0,0.0,0.0
2015-03-01,1.0,0.0,0.0
2015-03-06,0.0,1.0,0.0
2015-03-07,2.0,0.0,0.0
2015-03-08,1.0,1.0,0.0
2015-03-10,2.0,0.0,0.0
2015-03-14,2.0,0.0,0.0
2015-03-15,2.0,0.0,0.0
2015-03-21,1.0,0.0,0.0
2015-03-25,1.0,1.0,0.0
2015-03-26,0.0,2.0,0.0
2015-04-01,0.0,1.0,0.0
2015-04-07,3.0,1.0,0.0
2015-04-09,1.0,0.0,0.0
2015-04-10,0.0,1.0,0.0
2015-04-13,1.0,0.0,0.0
2015-04-15,1.0,0.0,0.0
2015-04-16,2.0,0.0,0.0
2015-04-23,2.0,0.0,0.0
2015-05-01,0.0,1.0,0.0
2015-05-03,1.0,0.0,0.0
2015-05-12,0.0,1.0,0.0
2015-05-15,0.0,1.0,0.0
2015-05-17,1.0,0.0,0.0
2015-05-18,2.0,0.0,0.0
2015-05-19,1.0,0.0,0.0
2015-05-21,1.0,1.0,0.0
2015-05-26,1.0,1.0,0.0
2015-05-27,1.0,0.0,0.0
2015-06-04,1.0,0.0,0.0
2015-06-09,0.0,1.0,0.0
2015-06-12,1.0,0.0,0.0
2015-06-16,0.0,2.0,0.0
2015-06-20,1.0,1.0,0.0
2015-06-23,1.0,0.0,0.0
2015-06-26,1.0,0.0,0.0
2015-06-28,1.0,1.0,0.0
2015-06-30,11.0,5.0,0.0
2015-07-01,2.0,1.0,0.0
2015-07-02,2.0,2.0,0.0
2015-07-03,0.0,2.0,0.0
2015-07-04,0.0,1.0,0.0
2015-07-05,0.0,1.0,0.0
2015-07-07,1.0,0.0,0.0
2015-07-12,1.0,0.0,0.0
2015-07-14,1.0,0.0,0.0
2015-07-16,1.0,0.0,0.0
2015-07-17,0.0,1.0,0.0
2015-07-18,0.0,1.0,0.0
2015-07-20,1.0,1.0,0.0
2015-07-22,0.0,1.0,0.0
2015-08-09,0.0,1.0,0.0
2015-08-11,1.0,0.0,0.0
2015-08-15,0.0,1.0,0.0
2015-08-19,1.0,1.0,0.0
2015-08-31,24.0,14.0,0.0
2015-09-02,0.0,1.0,0.0
2015-09-03,1.0,0.0,0.0
2015-09-05,0.0,1.0,0.0
2015-09-07,1.0,0.0,0.0
2015-09-09,1.0,0.0,0.0
2015-09-11,1.0,0.0,0.0
2015-09-12,0.0,1.0,0.0
2015-09-15,1.0,0.0,0.0
2015-09-19,2.0,0.0,0.0
2015-09-20,0.0,1.0,0.0
2015-09-21,1.0,0.0,0.0
2015-09-23,1.0,0.0,0.0
2015-09-28,0.0,2.0,0.0
2015-09-29,1.0,0.0,0.0
2015-10-01,0.0,1.0,0.0
2015-10-02,0.0,1.0,0.0
2015-10-03,1.0,1.0,0.0
2015-10-05,0.0,1.0,0.0
2015-10-06,1.0,0.0,0.0
2015-10-08,0.0,1.0,0.0
2015-10-09,1.0,0.0,0.0
2015-10-10,1.0,0.0,0.0
2015-10-11,1.0,0.0,0.0
2015-10-12,1.0,0.0,0.0
2015-10-13,0.0,1.0,0.0
2015-10-16,0.0,1.0,0.0
2015-10-18,1.0,0.0,0.0
2015-10-22,2.0,0.0,0.0
2015-10-23,1.0,1.0,0.0
2015-10-27,2.0,0.0,0.0
2015-10-28,2.0,0.0,0.0
2015-10-29,3.0,1.0,0.0
2015-10-30,1.0,1.0,0.0
2015-10-31,1.0,0.0,0.0
2015-11-01,0.0,1.0,0.0
2015-11-02,1.0,1.0,0.0
2015-11-03,1.0,0.0,0.0
2015-11-04,1.0,0.0,0.0
2015-11-05,1.0,0.0,0.0
2015-11-06,1.0,0.0,0.0
2015-11-08,1.0,0.0,0.0
2015-11-09,0.0,1.0,0.0
2015-11-10,1.0,1.0,0.0
2015-11-11,1.0,0.0,0.0
2015-11-12,1.0,0.0,0.0
2015-11-13,1.0,0.0,0.0
2015-11-14,1.0,0.0,0.0
2015-11-17,1.0,0.0,0.0
2015-11-19,2.0,0.0,0.0
2015-11-21,2.0,0.0,0.0
2015-11-23,2.0,0.0,0.0
2015-11-25,2.0,0.0,0.0
2015-11-27,0.0,1.0,0.0
2015-11-29,0.0,1.0,0.0
2015-12-04,0.0,1.0,0.0
2015-12-12,1.0,0.0,0.0
2015-12-23,1.0,0.0,0.0
2015-12-26,1.0,0.0,0.0
2015-12-29,0.0,1.0,0.0
2015-12-31,2.0,1.0,0.0
2016-01-01,1.0,1.0,0.0
2016-01-02,1.0,0.0,0.0
2016-01-04,1.0,0.0,0.0
2016-01-07,1.0,0.0,0.0
2016-01-09,1.0,1.0,0.0
2016-01-11,2.0,0.0,0.0
2016-01-12,1.0,0.0,0.0
2016-01-13,1.0,0.0,0.0
2016-01-14,3.0,5.0,0.0
2016-01-15,1.0,2.0,0.0
2016-01-16,0.0,1.0,0.0
2016-01-17,1.0,0.0,0.0
2016-01-18,1.0,2.0,0.0
2016-01-19,6.0,1.0,0.0
2016-01-20,4.0,1.0,0.0
2016-01-21,3.0,2.0,0.0
2016-01-22,1.0,0.0,0.0
2016-01-23,3.0,0.0,0.0
