39,5,77516,1,13,3,9,4,1,1,2174,0,40,1,0
50,1,83311,1,13,1,5,3,1,1,0,0,13,1,0
38,0,215646,4,9,2,7,4,1,1,0,0,40,1,0
53,0,234721,3,7,1,7,3,5,1,0,0,40,1,0
28,0,338409,1,13,1,6,1,5,0,0,0,40,13,0
37,0,284582,11,14,1,5,1,1,0,0,0,40,1,0
49,0,160187,8,5,6,3,4,5,0,0,0,16,19,0
52,1,209642,4,9,1,5,3,1,1,0,0,45,1,1
31,0,45781,11,14,3,6,4,1,0,14084,0,50,1,1
42,0,159449,1,13,1,5,3,1,1,5178,0,40,1,1
37,0,280464,2,10,1,5,3,5,1,0,0,80,1,1
30,5,141297,1,13,1,6,3,2,1,0,0,40,8,1
23,0,122272,1,13,3,9,2,1,0,0,0,30,1,0
32,0,205019,6,12,3,4,4,5,1,0,0,50,1,0
34,0,245487,9,4,1,11,3,3,1,0,0,45,21,0
25,1,176756,4,9,3,10,2,1,1,0,0,35,1,0
32,0,186824,4,9,3,8,6,1,1,0,0,40,1,0
38,0,28887,3,7,1,4,3,1,1,0,0,50,1,0
43,1,292175,11,14,2,5,6,1,0,0,0,45,1,1
40,0,193524,14,16,1,6,3,1,1,0,0,60,1,1
54,0,302146,4,9,4,3,6,5,0,0,0,20,1,0
35,3,76845,8,5,1,10,3,5,1,0,0,40,1,0
43,0,117037,3,7,1,11,3,1,1,0,2042,40,1,0
59,0,109015,4,9,2,1,6,1,0,0,0,40,1,0
56,4,216851,1,13,1,1,3,1,1,0,0,40,1,1
19,0,168294,4,9,3,2,2,1,1,0,0,40,1,0
39,0,367260,4,9,2,5,4,1,1,0,0,80,1,0
49,0,193366,4,9,1,2,3,1,1,0,0,40,1,0
23,4,190709,6,12,3,13,4,1,1,0,0,52,1,0
20,0,266015,2,10,3,4,2,5,1,0,0,44,1,0
45,0,386940,1,13,2,5,2,1,1,0,1408,40,1,0
30,3,59951,2,10,1,9,2,1,1,0,0,40,1,0
22,5,311512,2,10,1,3,3,5,1,0,0,15,1,0
48,0,242406,3,7,3,8,6,1,1,0,0,40,4,0
21,0,197200,2,10,3,8,2,1,1,0,0,40,1,0
19,0,544091,4,9,7,9,1,1,0,0,0,25,1,0
48,1,265477,6,12,1,6,3,1,1,0,0,40,1,0
31,0,507875,8,5,1,8,3,1,1,0,0,43,1,0
53,1,88506,1,13,1,6,3,1,1,0,0,40,1,0
24,0,172987,1,13,1,1,3,1,1,0,0,50,1,0
49,0,94638,4,9,4,9,6,1,0,0,0,40,1,0
25,0,289980,4,9,3,7,4,1,1,0,0,35,1,0
57,3,337895,1,13,1,6,3,5,1,0,0,40,1,1
53,0,144361,4,9,1,8,3,1,1,0,0,38,1,0
44,0,128354,11,14,2,5,6,1,0,0,0,40,1,0
41,5,101603,7,11,1,2,3,1,1,0,0,40,1,0
29,0,271466,7,11,3,6,4,1,1,0,0,43,1,0
25,0,32275,2,10,1,5,1,4,0,0,0,40,1,0
47,0,51835,5,15,1,6,1,1,0,0,1902,60,15,1
50,3,251585,1,13,2,5,4,1,1,0,0,55,1,1
47,2,109832,4,9,2,5,4,1,1,0,0,60,1,0
43,0,237993,2,10,1,1,3,1,1,0,0,40,1,1
46,0,216666,15,3,1,8,3,1,1,0,0,40,21,0
35,0,56352,7,11,1,3,3,1,1,0,0,40,4,0
41,0,147372,4,9,1,9,3,1,1,0,0,48,1,0
30,0,188146,4,9,1,8,3,1,1,5013,0,40,1,0
30,0,59496,1,13,1,4,3,1,1,2407,0,40,1,0
